name,slug,field,before,after,reason
"Dragon, Plains (Yellow Dragon)",dragon-plains-bfrpg,special,"spell use, breath weapon, fire, surprise","breath weapon, fire, surprise",removed likely false spells tag
"Dragon, Sea (Gray Dragon)",dragon-sea-bfrpg,special,"spell use, breath weapon, web","breath weapon, web",removed likely false spells tag
Draugr,draugr-bfomnibus,special,"breath weapon, spells, clerical abilities, invisibility, hold/grab, charm, sleep, immunity, see description","breath weapon, spells, invisibility, see description, immune to sleep/charm/hold",removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
Dreamless,dreamless-bfomnibus,special,"magic weapons to hit, spells, fear, sleep","magic weapons to hit, fear, sleep",removed likely false spells tag
Dufferped,dufferped-bfomnibus,special,"spells, invisibility, magic weapons to hit","invisibility, magic weapons to hit",removed likely false spells tag
Dynamo,dynamo-bfomnibus,special,"poison, disease, spells, fire, lightning","poison, disease, fire, lightning",removed likely false spells tag
"Elemental, Blood (Device)",elemental-blood-device-bfomnibus,special,"magic weapons to hit, spells, shapechanging, fire, cold, lightning","magic weapons to hit, shapechanging, fire, cold, lightning",removed likely false spells tag
"Elemental, Blood (Spell)",elemental-blood-spell-bfomnibus,special,"magic weapons to hit, spells, shapechanging, fire, cold, lightning","magic weapons to hit, shapechanging, fire, cold, lightning",removed likely false spells tag
"Elemental, Blood (Staff)",elemental-blood-staff-bfomnibus,special,"magic weapons to hit, spells, shapechanging, fire, cold, lightning","magic weapons to hit, shapechanging, fire, cold, lightning",removed likely false spells tag
Ettercap,ettercap-bfomnibus,special,"poison, paralysis, web, spells","poison, paralysis, web",removed likely false spells tag
"Fairy, Frost",fairy-frost-bfomnibus,special,"magic weapons to hit, spells, cold","magic weapons to hit, cold",removed likely false spells tag
"Fish, Crusher (Adult)",fish-crusher-adult-bfomnibus,special,"poison, spells, shapechanging, undead, surprise","poison, shapechanging, undead, surprise",removed likely false spells tag
"Fish, Crusher (Fry)",fish-crusher-fry-bfomnibus,special,"poison, spells, shapechanging, undead, surprise","poison, shapechanging, undead, surprise",removed likely false spells tag
"Fish, Crusher (Juvenile)",fish-crusher-juvenile-bfomnibus,special,"poison, spells, shapechanging, undead, surprise","poison, shapechanging, undead, surprise",removed likely false spells tag
"Fungi, Violet (Huge)",fungi-violet-huge-bfomnibus,special,"poison, disease, spells","poison, disease",removed likely false spells tag
"Fungi, Violet (Large)",fungi-violet-large-bfomnibus,special,"poison, disease, spells","poison, disease",removed likely false spells tag
"Fungi, Violet (Medium)",fungi-violet-medium-bfomnibus,special,"poison, disease, spells","poison, disease",removed likely false spells tag
"Fungi, Violet (Small)",fungi-violet-small-bfomnibus,special,"poison, disease, spells","poison, disease",removed likely false spells tag
Fyrenewt,fyrenewt-bfomnibus,special,"magic weapons to hit, breath weapon, spells, clerical abilities, shapechanging, fire, cold, immunity","magic weapons to hit, breath weapon, spells, shapechanging, fire, cold, immunity",removed likely false clerical abilities tag
"Geminate Serpent, Blue",geminate-serpent-blue-bfomnibus,special,"poison, breath weapon, spells, constriction, cold, immunity","poison, breath weapon, constriction, cold, immunity",removed likely false spells tag
"Geminate Serpent, Green",geminate-serpent-green-bfomnibus,special,"poison, breath weapon, spells, constriction, sleep, immunity","poison, breath weapon, constriction, sleep, immunity",removed likely false spells tag
"Geminate Serpent, Pleasant",geminate-serpent-pleasant-bfomnibus,special,"poison, breath weapon, spells, fear, constriction, immunity","poison, breath weapon, fear, constriction, immunity",removed likely false spells tag
"Geminate Serpent, Sea",geminate-serpent-sea-bfomnibus,special,"poison, paralysis, breath weapon, spells, constriction, immunity","poison, paralysis, breath weapon, constriction, immunity",removed likely false spells tag
"Geminate Serpent, Shadow",geminate-serpent-shadow-bfomnibus,special,"poison, energy drain, breath weapon, spells, constriction, immunity","poison, energy drain, breath weapon, constriction, immunity",removed likely false spells tag
"Geminate Serpent, White",geminate-serpent-white-bfomnibus,special,"poison, breath weapon, web, spells, constriction, immunity, surprise","poison, breath weapon, web, constriction, immunity, surprise",removed likely false spells tag
Gerbalaine,gerbalaine-bfomnibus,special,spells,None,removed likely false spells tag
Ghost Shroom,ghost-shroom-bfomnibus,special,"clerical abilities, constriction, undead","constriction, undead",removed likely false clerical abilities tag
Gibbering Mouther,gibbering-mouther-bfomnibus,special,"poison, paralysis, spells, swallow, acid, fire","poison, paralysis, swallow, acid, fire",removed likely false spells tag
Gila,gila-bfomnibus,special,"poison, spells",poison,removed likely false spells tag
"Goblin, Moon",goblin-moon-bfomnibus,special,"poison, paralysis, spells, clerical abilities, fear","poison, paralysis, spells, fear",removed likely false clerical abilities tag
Grave Caller,grave-caller-bfomnibus,special,"spells, clerical abilities, hold/grab, charm, sleep, undead","hold/grab, charm, sleep, undead",removed likely false spells tag; removed likely false clerical abilities tag
Grave Dancer,grave-dancer-bfomnibus,special,"magic weapons to hit, spells, hold/grab, charm, sleep, immunity, undead","magic weapons to hit, undead, immune to sleep/charm/hold",removed likely false spells tag; normalized false charm/sleep/hold immunity tags
"Grave Sentinel (Watcher, and Guardian) (Guardian)",grave-sentinel-watcher-and-guardian-guardian-bfomnibus,special,"spells, clerical abilities, teleportation, immunity, undead, silver weapons to hit","spells, teleportation, immunity, undead, silver weapons to hit",removed likely false clerical abilities tag
"Grave Sentinel (Watcher, and Guardian) (Sentinel)",grave-sentinel-watcher-and-guardian-sentinel-bfomnibus,special,"spells, clerical abilities, teleportation, immunity, undead, silver weapons to hit","spells, teleportation, immunity, undead, silver weapons to hit",removed likely false clerical abilities tag
"Grave Sentinel (Watcher, and Guardian) (Watcher)",grave-sentinel-watcher-and-guardian-watcher-bfomnibus,special,"spells, clerical abilities, teleportation, immunity, undead, silver weapons to hit","spells, teleportation, immunity, undead, silver weapons to hit",removed likely false clerical abilities tag
Great Orb of Eyes,great-orb-of-eyes-bfomnibus,special,"paralysis, petrification, spells, clerical abilities, invisibility, fear, hold/grab, gaze, see description","paralysis, petrification, spells, invisibility, fear, hold/grab, gaze, see description",removed likely false clerical abilities tag
Gremilkin (Temple Cat),gremilkin-temple-cat-bfomnibus,special,clerical abilities,None,removed likely false clerical abilities tag
Grim,grim-bfomnibus,special,"magic weapons to hit, disease, howls turn undead as 10th-level Cleric, invisibility, illusion, doom omen","magic weapons to hit, disease, howls turn undead as 10th-level Cleric, invisibility, illusion, doom omen, immune to sleep/charm/hold",normalized false charm/sleep/hold immunity tags
Grimfrog,grimfrog-bfomnibus,special,"spells, fear, surprise","fear, surprise",removed likely false spells tag
Grimhost,grimhost-bfomnibus,special,"magic weapons to hit, disease, former-life abilities, dispel magic/evil, turns undead as 8th-level Cleric, invisibility/illusion, doom omen","magic weapons to hit, disease, former-life abilities, dispel magic/evil, turns undead as 8th-level Cleric, invisibility/illusion, doom omen, immune to sleep/charm/hold",normalized false charm/sleep/hold immunity tags
Grimlock,grimlock-bfomnibus,special,"spells, gaze, illusion, immunity","gaze, illusion, immunity",removed likely false spells tag
Gump,gump-bfomnibus,special,"paralysis, spells, hold/grab, gaze, surprise","paralysis, hold/grab, gaze, surprise",removed likely false spells tag
Hag,hag-bfomnibus,special,"spells, charm, cold","charm, cold",removed likely false spells tag
Headless Horseman,headless-horseman-bfomnibus,special,"poison, spells, clerical abilities, fear, hold/grab, charm, sleep, acid, see description","poison, fear, acid, see description, immune to sleep/charm/hold",removed likely false spells tag; removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
Husk,husk-bfomnibus,special,"spells, clerical abilities, hold/grab, illusion, charm, undead","hold/grab, illusion, charm, undead",removed likely false spells tag; removed likely false clerical abilities tag
"Infected, Giant Ant",infected-giant-ant-bfomnibus,special,"disease, regeneration, spells, invisibility, hold/grab, illusion, charm","disease, regeneration, invisibility, hold/grab, illusion, charm",removed likely false spells tag
"Infected, Giant Rhinoceros Beetle",infected-giant-rhinoceros-beetle-bfomnibus,special,"disease, regeneration, spells, invisibility, hold/grab, illusion, charm","disease, regeneration, invisibility, hold/grab, illusion, charm",removed likely false spells tag
"Infected, Humanoid",infected-humanoid-bfomnibus,special,"disease, regeneration, spells, invisibility, hold/grab, illusion, charm","disease, regeneration, invisibility, hold/grab, illusion, charm",removed likely false spells tag
"Infected, Owl Bear",infected-owl-bear-bfomnibus,special,"disease, regeneration, spells, invisibility, hold/grab, hug, illusion, charm","disease, regeneration, invisibility, hold/grab, hug, illusion, charm",removed likely false spells tag
"Infected, Zombie",infected-zombie-bfomnibus,special,"disease, regeneration, spells, invisibility, hold/grab, illusion, charm, undead","disease, regeneration, invisibility, hold/grab, illusion, charm, undead",removed likely false spells tag
"Demon, Barbed Devil",demon-barbed-devil-bfomnibus,special,"magic weapons to hit, spells, shapechanging, fear, hold/grab, surprise","magic weapons to hit, shapechanging, fear, hold/grab, surprise",removed likely false spells tag
"Demon, Lemure",demon-lemure-bfomnibus,special,"regeneration, spells, fire, magic weapons to hit","regeneration, fire, magic weapons to hit",removed likely false spells tag
Jack O'Lantern,jack-o-lantern-bfomnibus,special,"poison, breath weapon, spells, charm, sleep, fire, cold, immunity","poison, breath weapon, charm, sleep, fire, cold, immunity",removed likely false spells tag
Jackalwere,jackalwere-bfomnibus,special,"spells, gaze, sleep","gaze, sleep",removed likely false spells tag
Kreptax,kreptax-bfomnibus,special,"paralysis, spells, clerical abilities, fear, cold, darkvision","paralysis, spells, fear, cold, darkvision",removed likely false clerical abilities tag
Living Candlestick,living-candlestick-bfomnibus,special,"spells, fire",fire,removed likely false spells tag
Loadstar,loadstar-bfomnibus,special,"disease, spells, clerical abilities, shapechanging","disease, shapechanging",removed likely false spells tag; removed likely false clerical abilities tag
Lobizon,lobizon-bfomnibus,special,"silver weapons to hit, spells, hold/grab, darkvision","silver weapons to hit, hold/grab, darkvision",removed likely false spells tag
Lotl,lotl-bfomnibus,special,"poison, disease, spells, clerical abilities, sleep, undead","poison, disease, spells, sleep, undead",removed likely false clerical abilities tag
"Lycanthrope, Werecockroach",lycanthrope-werecockroach-bfomnibus,special,"silver weapons to hit, poison, disease, spells, shapechanging, immunity, magic weapons to hit","silver weapons to hit, poison, disease, shapechanging, immunity, magic weapons to hit",removed likely false spells tag
Maggot-man,maggot-man-bfomnibus,special,"magic weapons to hit, spells, clerical abilities, fear, hold/grab, charm, sleep, immunity, see description","magic weapons to hit, spells, fear, see description, immune to sleep/charm/hold",removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
Marid,marid-bfomnibus,special,"magic weapons to hit, spells, invisibility, fear, illusion, immunity, drowning","magic weapons to hit, invisibility, fear, illusion, immunity, drowning",removed likely false spells tag
Mesmerbelly,mesmerbelly-bfomnibus,special,"spells, shapechanging",shapechanging,removed likely false spells tag
Mohrg,mohrg-bfomnibus,special,"paralysis, clerical abilities, hold/grab, charm, sleep, immunity, undead","paralysis, undead, immune to sleep/charm/hold",removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
"Mold, Deadly (Brown)",mold-deadly-brown-bfomnibus,special,"poison, spells, fire, cold, lightning","poison, fire, cold, lightning",removed likely false spells tag
"Mold, Deadly (Yellow)",mold-deadly-yellow-bfomnibus,special,"poison, spells, fire, cold, lightning","poison, fire, cold, lightning",removed likely false spells tag
"Mosquito, Giant",mosquito-giant-bfomnibus,special,spells,None,removed likely false spells tag
Naiad,naiad-bfomnibus,special,"spells, charm, drowning","charm, drowning",removed likely false spells tag
Necrotic Ooze,necrotic-ooze-bfomnibus,special,"poison, disease, spells, clerical abilities, hold/grab, charm, sleep, immunity, see description","poison, disease, see description, immune to sleep/charm/hold",removed likely false spells tag; removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
Octobat,octobat-bfomnibus,special,"breath weapon, web, spells, fear, acid, immunity","breath weapon, web, fear, acid, immunity",removed likely false spells tag
Octopeople,octopeople-bfomnibus,special,"paralysis, spells, illusion","paralysis, illusion",removed likely false spells tag
Oculus Abyssi,oculus-abyssi-bfomnibus,special,"breath weapon, spells, hold/grab, illusion","breath weapon, hold/grab, illusion",removed likely false spells tag
Oculus Inferni,oculus-inferni-bfomnibus,special,"regeneration, spells, fire, immunity, surprise","regeneration, fire, immunity, surprise",removed likely false spells tag
Oculus Somno,oculus-somno-bfomnibus,special,"paralysis, spells, gaze, sleep","paralysis, gaze, sleep",removed likely false spells tag
Odeum,odeum-bfomnibus,special,"magic weapons to hit, spells, clerical abilities, hold/grab, charm, sleep, immunity, undead","magic weapons to hit, spells, undead, immune to sleep/charm/hold",removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
Owlbearlin,owlbearlin-bfomnibus,special,clerical abilities,None,removed likely false clerical abilities tag
Pangotherium,pangotherium-bfomnibus,special,spells,None,removed likely false spells tag
Paper Tiger,paper-tiger-bfomnibus,special,"poison, spells, hold/grab, charm, sleep, fire, immunity, surprise","poison, fire, surprise, immune to sleep/charm/hold",removed likely false spells tag; normalized false charm/sleep/hold immunity tags
Phoenix,phoenix-bfomnibus,special,"magic weapons to hit, spells, hold/grab, hug, charm, fire, immunity, undead","magic weapons to hit, hold/grab, hug, charm, fire, immunity, undead",removed likely false spells tag
Poludnitsa,poludnitsa-bfomnibus,special,"spells, hold/grab",hold/grab,removed likely false spells tag
Quinotaur,quinotaur-bfomnibus,special,"breath weapon, spells, fear","breath weapon, fear",removed likely false spells tag
Raptorsapien,raptorsapien-bfomnibus,special,"spells, clerical abilities, hold/grab",hold/grab,removed likely false spells tag; removed likely false clerical abilities tag
Resonated,resonated-bfomnibus,special,"regeneration, spells, clerical abilities, hold/grab, charm, sleep, immunity, undead","regeneration, undead, immune to sleep/charm/hold",removed likely false spells tag; removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
Rot Vulture,rot-vulture-bfomnibus,special,"poison, paralysis, disease, spells, clerical abilities, fear, stench, hold/grab, see description","poison, paralysis, disease, fear, stench, see description, immune to sleep/charm/hold",removed likely false spells tag; removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
"Salamander, Wind",salamander-wind-bfomnibus,special,"magic weapons to hit, petrification, spells","magic weapons to hit, petrification",removed likely false spells tag
Satyr,satyr-bfomnibus,special,"spells, fear, charm, sleep, surprise","fear, charm, sleep, surprise",removed likely false spells tag
"Scarecrow, Dread",scarecrow-dread-bfomnibus,special,"spells, fear, gaze, fire, immunity, darkvision","fear, gaze, fire, immunity, darkvision",removed likely false spells tag
"Scarecrow, Living (Normal)",scarecrow-living-normal-bfomnibus,special,"spells, fear, fire, immunity, darkvision","fear, fire, immunity, darkvision",removed likely false spells tag
"Scarecrow, Living (Small)",scarecrow-living-small-bfomnibus,special,"spells, fear, fire, immunity, darkvision","fear, fire, immunity, darkvision",removed likely false spells tag
Scrab,scrab-bfomnibus,special,"spells, hug",hug,removed likely false spells tag
Sea Hag,sea-hag-bfomnibus,special,"paralysis, spells, shapechanging, fear, gaze","paralysis, shapechanging, fear, gaze",removed likely false spells tag
Sea-Ghast,sea-ghast-bfomnibus,special,"poison aura 10 ft., paralysis 1d4+1/day, aquatic undead, turned as ghast, undead immunities, avoids holy water","poison aura 10 ft., paralysis 1d4+1/day, aquatic undead, turned as ghast, undead immunities, avoids holy water, immune to sleep/charm/hold",normalized false charm/sleep/hold immunity tags
Sea-Ghoul,sea-ghoul-bfomnibus,special,"poison aura 5 ft., paralysis 1/day, aquatic undead, turned as ghoul, undead immunities, avoids holy water","poison aura 5 ft., paralysis 1/day, aquatic undead, turned as ghoul, undead immunities, avoids holy water, immune to sleep/charm/hold",normalized false charm/sleep/hold immunity tags
Selkie,selkie-bfomnibus,special,"breath weapon, web, spells, invisibility, hold/grab, charm, sleep, cold, see description","breath weapon, web, invisibility, hold/grab, charm, sleep, cold, see description",removed likely false spells tag
Shield Guardian,shield-guardian-bfomnibus,special,"magic weapons to hit, spells, darkvision","magic weapons to hit, darkvision",removed likely false spells tag
Skeletal Flayer,skeletal-flayer-bfomnibus,special,"clerical abilities, hold/grab, charm, sleep, immunity, undead","undead, immune to sleep/charm/hold",removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
Skeletal Legs,skeletal-legs-bfomnibus,special,"undead immunities, turned as skeleton (+1), surprise 1-3, half edged damage, 1 point from arrows/bolts/stones, mindless","undead immunities, turned as skeleton (+1), surprise 1-3, half edged damage, 1 point from arrows/bolts/stones, mindless, immune to sleep/charm/hold",normalized false charm/sleep/hold immunity tags
"Skeleton, Crimson Bones",skeleton-crimson-bones-bfomnibus,special,"spells, clerical abilities, hold/grab, charm, sleep, immunity, undead","undead, immune to sleep/charm/hold",removed likely false spells tag; removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
"Skeleton, Diseased",skeleton-diseased-bfomnibus,special,"disease, spells, clerical abilities, hold/grab, charm, sleep, undead","disease, spells, hold/grab, charm, sleep, undead",removed likely false clerical abilities tag
"Skeleton, Gellybone",skeleton-gellybone-bfomnibus,special,"clerical abilities, hold/grab, charm, sleep, immunity, undead","undead, immune to sleep/charm/hold",removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
"Skeleton, Haunted Bones",skeleton-haunted-bones-bfomnibus,special,"clerical abilities, hold/grab, charm, sleep, immunity, undead","undead, immune to sleep/charm/hold",removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
"Skeleton, Lake",skeleton-lake-bfomnibus,special,"breath weapon, clerical abilities, hold/grab, charm, sleep, immunity, undead, drowning","breath weapon, undead, drowning, immune to sleep/charm/hold",removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
"Skeleton, Lava Lake",skeleton-lava-lake-bfomnibus,special,"clerical abilities, hold/grab, charm, sleep, fire, immunity, undead","fire, undead, immune to sleep/charm/hold",removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
"Skeleton, Pitch",skeleton-pitch-bfomnibus,special,"clerical abilities, hold/grab, charm, sleep, fire, immunity, undead","fire, undead, immune to sleep/charm/hold",removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
Skerraxis,skerraxis-bfomnibus,special,spells,None,removed likely false spells tag
"Snake, Rainbow",snake-rainbow-bfomnibus,special,"poison, petrification, spells, teleportation, acid, fire, electricity, undead","poison, petrification, teleportation, acid, fire, electricity, undead",removed likely false spells tag
Spellripper,spellripper-bfomnibus,special,"magic weapons to hit, spells, clerical abilities, hold/grab, charm, sleep, immunity, undead","magic weapons to hit, spells, undead, immune to sleep/charm/hold",removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
"Spider, Giant Tarantula",spider-giant-tarantula-bfrpg,special,"poison, spell use",poison,removed likely false spells tag
"Spider, Giant Wolf",spider-giant-wolf-bfomnibus,special,"poison, paralysis, web, spells, surprise","poison, paralysis, web, surprise",removed likely false spells tag
Spirit of Vengeance,spirit-of-vengeance-bfomnibus,special,"magic weapons to hit, energy drain, clerical abilities, fear, hold/grab, gaze, charm, sleep, see description","magic weapons to hit, energy drain, fear, gaze, see description, immune to sleep/charm/hold",removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
Strix,strix-bfomnibus,special,"poison, paralysis, disease, spells, fear, sleep, darkvision","poison, paralysis, disease, fear, sleep, darkvision",removed likely false spells tag
Swamp Monster,swamp-monster-bfomnibus,special,"paralysis, spells, surprise","paralysis, surprise",removed likely false spells tag
Swanmay (and Black Swanmay),swanmay-and-black-swanmay-bfomnibus,special,"poison, paralysis, breath weapon, spells, shapechanging, fear, charm, cold, see description","poison, paralysis, breath weapon, shapechanging, fear, charm, cold, see description",removed likely false spells tag
Tapper,tapper-bfomnibus,special,"silver weapons to hit, spells, clerical abilities, hold/grab, charm, sleep, immunity, undead, see description","silver weapons to hit, spells, undead, see description, immune to sleep/charm/hold",removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
Tentacled Horror,tentacled-horror-bfomnibus,special,"spells, hold/grab, charm, sleep, acid, fire, electricity, immunity, see description","acid, fire, electricity, see description, immune to sleep/charm/hold",removed likely false spells tag; normalized false charm/sleep/hold immunity tags
"Tick, Giant",tick-giant-bfomnibus,special,"poison, disease, spells, fire, surprise","poison, disease, fire, surprise",removed likely false spells tag
Timber Wolf,timber-wolf-bfomnibus,special,"magic weapons to hit, spells, shapechanging, fire","magic weapons to hit, shapechanging, fire",removed likely false spells tag
"Treant, Undead",treant-undead-bfomnibus,special,"spells, clerical abilities, hold/grab, charm, sleep, undead","undead, immune to sleep/charm/hold",removed likely false spells tag; removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
Trelanx,trelanx-bfomnibus,special,"clerical abilities, surprise, darkvision","surprise, darkvision",removed likely false clerical abilities tag
"Troll, Moon",troll-moon-bfomnibus,special,"silver weapons to hit, disease, regeneration, spells, shapechanging, hug, acid, fire, see description","silver weapons to hit, disease, regeneration, shapechanging, hug, acid, fire, see description",removed likely false spells tag
"Troll, Rock",troll-rock-bfomnibus,special,"petrification, regeneration, breath weapon, spells, fire, electricity","petrification, regeneration, breath weapon, fire, electricity",removed likely false spells tag
Uhul,uhul-bfomnibus,special,"spells, clerical abilities, hug, surprise","spells, hug, surprise",removed likely false clerical abilities tag
Wind Walker,wind-walker-bfomnibus,special,"magic weapons to hit, spells, invisibility, hold/grab, charm, sleep, cold, electricity, see description","magic weapons to hit, invisibility, hold/grab, charm, sleep, cold, electricity, see description",removed likely false spells tag
Wretchling,wretchling-bfomnibus,special,"spells, fear, sleep, cold, undead, magic weapons to hit","fear, sleep, cold, undead, magic weapons to hit",removed likely false spells tag
Wug,wug-bfomnibus,special,clerical abilities,None,removed likely false clerical abilities tag
"Zombie, Flesh Eater",zombie-flesh-eater-bfomnibus,special,"disease, spells, clerical abilities, hold/grab, charm, sleep, immunity, undead","disease, spells, hold/grab, charm, sleep, immunity, undead",removed likely false clerical abilities tag
"Zombie, Hexcore",zombie-hexcore-bfomnibus,special,"magic weapons to hit, spells, clerical abilities, hold/grab, charm, sleep, immunity, undead","magic weapons to hit, undead, immune to sleep/charm/hold",removed likely false spells tag; removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
"Zombie, Leper",zombie-leper-bfomnibus,special,"disease, spells, clerical abilities, hold/grab, charm, sleep, fire, immunity, see description","disease, fire, see description, immune to sleep/charm/hold",removed likely false spells tag; removed likely false clerical abilities tag; normalized false charm/sleep/hold immunity tags
